paso,x,y,radio,f_net,gap,freno
0,0.7999986649055901,0.000899999998891633,0.8,1.3350944099115685,0.0008268077645987192,1.2315190160411041e-06
10,0.7999118838667801,0.009899669483925823,0.799977195103306,1.3351560763627768,0.000826996130547457,1.2321234712342117e-06
20,0.7996915970244384,0.018897686562664332,0.7999221335994994,1.335304983596047,0.0008274511092544056,1.2335887822144405e-06
30,0.7993378156633543,0.027892548831777827,0.7998348215076583,1.3355411552859862,0.0008281730904428288,1.2359178449414066e-06
40,0.798850559265532,0.03688275334890131,0.799715268380723,1.3358646289562737,0.0008291626926342782,1.2391152657465479e-06
50,0.7982298555336942,0.045866796407413396,0.799563487314169,1.3362754559560646,0.0008304207638151602,1.2431873752823972e-06
60,0.7974757404233737,0.05484317331141445,0.7993794949578936,1.3367737014275418,0.0008319483823497949,1.2481422477067986e-06
70,0.7965882581836196,0.06381037815097189,0.7991633115313254,1.3373594442644943,0.0008337468581402096,1.2539897251729636e-06
80,0.79556746140635,0.07276690357770164,0.7989149608417689,1.3380327770617548,0.00083581773403296,1.2607414477158402e-06
90,0.7944134110843915,0.0817112405807575,0.798634470305997,1.3387938060553177,0.0008381627874733351,1.2684108886452387e-06
100,0.793126176678248,0.09064187826330125,0.7983218709751039,1.3396426510529047,0.0008407840324073399,1.2770133955764792e-06
110,0.7917058361916577,0.09955730361952952,0.7979771975626444,1.3405794453547148,0.0008436837214318284,1.2865662372499496e-06
120,0.790152476255991,0.10845600131233607,0.7976004884760727,1.3416043356640652,0.0008468643481932476,1.297088656312525e-06
130,0.7884661922235611,0.11733645345169103,0.7971917858515079,1.3427174819875924,0.0008503286500353717,1.3086019282554584e-06
140,0.7866470882699155,0.12619713937382257,0.7967511355918497,1.3439190575246396,0.0008540796108964469,1.3211294267261662e-06
150,0.7846952775051911,0.1350365354212904,0.7962785874082727,1.3452092485454257,0.0008581204644560822,1.334696695454519e-06
160,0.7826108820946187,0.14385311472404436,0.7957741948651309,1.3465882542575487,0.0008624546975321295,1.3493315270583486e-06
170,0.7803940333882665,0.15264534698156643,0.7952380154282973,1.348056286660354,0.0008670860537278488,1.3650640490183628e-06
180,0.7780448720601253,0.16141169824619955,0.7946701105169843,1.3496135703866181,0.0008720185373292872,1.3819268171379326e-06
190,0.7755635482566403,0.1701506307077726,0.7940705455590712,1.3512603425310103,0.0008772564174529107,1.3999549168310485e-06
200,0.7729502217548017,0.17886060247963503,0.7934393900499825,1.3529968524647107,0.000882804232443152,1.4191860726093534e-06
210,0.7702050621299115,0.18754006738622425,0.7927767176151579,1.354823361635541,0.0008886667945194191,1.4396607661687899e-06
220,0.7673282489331547,0.19618747475229184,0.7920826060761547,1.356740143352918,0.0008948491946717908,1.4614223635068508e-06
230,0.7643199718791021,0.2048012691939253,0.7913571375204279,1.3587474825568921,0.0009013568078043716,1.4845172515334687e-06
240,0.7611804310432878,0.2133798904115081,0.7906003983748378,1.3608456755704836,0.0009081952981248519,1.50899498467169e-06
250,0.75790983707,0.2219217729847687,0.7898124794829293,1.3630350298344924,0.0009153706247784803,1.5349084419792075e-06
260,0.7545084113904389,0.23042534617007954,0.7889934761860375,1.3653158636238991,0.000922889047724134,1.5623139953579188e-06
270,0.7509763864513961,0.23888903370017509,0.7881434884082703,1.3676885057449248,0.0009307571338496798,1.59127168945658e-06
280,0.7473140059546166,0.24731125358646802,0.7872626207454214,1.370153295211778,0.0009389817633232028,1.6218454339109617e-06
290,0.7435215251070125,0.25569041792415326,0.7863509825578713,1.372710580902048,0.0009475701361760279,1.6541032086070388e-06
300,0.7395992108819006,0.26402493270030086,0.785408688067532,1.3753607211896568,0.0009565297791126764,1.6881172826953243e-06
310,0.7355473422914421,0.27231319760514955,0.7844358564588955,1.3781040835542326,0.000965868552542117,1.7239644481290534e-06
320,0.7313662106704671,0.2805536058468252,0.783432611984244,1.3809410441656982,0.0009755946578237119,1.7617262685449355e-06
330,0.7270561199718761,0.2887445439697224,0.7823990840730856,1.3838719874428183,0.0009857166447202392,1.8014893443529677e-06
340,0.7226173870738059,0.29688439167679825,0.7813354074458746,1.3868973055843872,0.0009962434190492675,1.843345594951406e-06
350,0.718050342098763,0.3049715216560451,0.7802417222320822,1.3900173980716732,0.00100718425052289,1.8873925590339371e-06
360,0.7133553287449225,0.31300429941142066,0.7791181740926789,1.3932326711406786,0.0010185487807644854,1.9337337140088336e-06
370,0.7085327046298013,0.3209810830985314,0.7779649143470942,1.3965435372227086,0.0010303470314896672,1.9824788156038947e-06
380,0.7035828416465111,0.3289002233653811,0.7767821001047177,1.3999504143516694,0.0010425894128369515,2.0337442587863777e-06
390,0.6985061263328056,0.33676006319851287,0.7755698944010045,1.4034537255364599,0.0010552867318319142,2.0876534611837168e-06
400,0.6933029602531389,0.3445589377748918,0.7743284663382528,1.407053898096748,0.001068450200966631,2.1443372702481373e-06
410,0.6879737603939451,0.352295174319894,0.7730579912311126,1.4107513629603452,0.0010820914468741252,2.203934395466592e-06
420,0.6825189595723654,0.35996709197178633,0.7717586507568924,1.4145465539203435,0.0010962225190752494,2.266591866975803e-06
430,0.6769390068586382,0.3675730016531027,0.7704306331107248,1.4184399068500764,0.0011108558987729205,2.3324655220006033e-06
440,0.6712343680123714,0.3751112059493441,0.7690741331656492,1.4224318588739309,0.0011260045076660079,2.4017205205919326e-06
450,0.6654055259329212,0.3825799989954499,0.7676893526376758,1.4265228474919232,0.0011416817167522045,2.474531892197508e-06
460,0.6594529811240915,0.3899776663705146,0.7662765002558799,1.430713309655923,0.0011579013550861751,2.5510851146539205e-06
470,0.6533772521733722,0.39730248500124477,0.7648357919375879,1.4350036807952926,0.001174677718455827,2.631576727241451e-06
480,0.6471788762459352,0.40455272307467743,0.7633674509687008,1.4393943937896703,0.001192025577936014,2.7162149794931216e-06
490,0.6408584095935914,0.41172663996070746,0.7618717081892045,1.4438858778865375,0.0012099601882750617,2.805220517494953e-06
500,0.6344164280789226,0.41882248614499834,0.7603488021839094,1.448478557561135,0.0012284972960653591,2.898827109454897e-06
510,0.6278535277147833,0.42583850317287836,0.7587989794784585,1.4531728513162367,0.0012476531476448385,2.997282412352087e-06
520,0.6211703252193705,0.4327729236048532,0.7572224947406367,1.4579691704192048,0.0012674444966713676,3.1008487815038265e-06
530,0.6143674585870438,0.43962397098439665,0.7556196109870067,1.4628679175736976,0.001287888611307099,3.2098041249049233e-06
540,0.607445587675074,0.44638985981871093,0.7539905997948944,1.4678694855233294,0.0013090032809443548,3.324442804198763e-06
550,0.6004053948064857,0.4530687955731832,0.752335741519735,1.472974255584512,0.0013308068223989071,3.445076584131933e-06
560,0.5932475853891455,0.4596589746802925,0.7506553255177839,1.478182596105682,0.0013533180854905199,3.5720356323207395e-06
570,0.5859728885512335,0.46615858456376214,0.7489496503741883,1.483494860850017,0.0013765564579240614,3.7056695711159815e-06
580,0.5785820577932249,0.4725658036787822,0.7472190241364038,1.488911387298751,0.0014005418693777874,3.846348583290113e-06
590,0.5710758716564793,0.4788788015691663,0.7454637645529307,1.4944324948721088,0.0014252947946982047,3.994464573184268e-06
600,0.5634551344085283,0.48509573894234176,0.7436841993173294,1.5000584830648884,0.0014508362560933371,4.150432384838146e-06
610,0.5557206767451189,0.4912147677631118,0.7418806663174633,1.5057896294936595,0.0014771878242083624,4.314691078480892e-06
620,0.5478733565090523,0.4972340313671672,0.7400535138899051,1.5116261878525599,0.0015043716179592003,4.487705266579233e-06
630,0.539914059425829,0.5031516645953621,0.7382031010794197,1.517568385774642,0.0015324103029910486,4.669966510418903e-06
640,0.5318436998560773,0.5089657939498139,0.7363297979034263,1.5236164225957456,0.001561327088619715,4.861994777928279e-06
650,0.5236632215647145,0.5146745377729222,0.7344339856213191,1.529770467017891,0.001591145723104381,5.064339963137205e-06
660,0.5153735985067542,0.5202760064504505,0.7325160570085085,1.5360306546692055,0.0016218904870904409,5.277583467289607e-06
670,0.5069758356296293,0.5257683026398491,0.7305764166350209,1.5423970855574711,0.0016535861850513309,5.502339841193514e-06
680,0.49847096969186216,0.531149521525048,0.7286154811484719,1.5488698214144325,0.0016862581345476672,5.739258487885458e-06
690,0.4898600700978686,0.5364177510989849,0.7266336795612022,1.555448882928104,0.0017199321531116865,5.989025424104192e-06
700,0.4811442397486265,0.5415710724751807,0.7246314535413394,1.5621342468604242,0.0017546345425540188,6.25236509840092e-06
710,0.47232461590789465,0.5466075602297176,0.7226092577075169,1.5689258430477324,0.0017903920704790566,6.530042262953393e-06
720,0.46340237108360116,0.551525282775016,0.7205675599269522,1.575823551281721,0.0018272319487841276,6.822863895289617e-06
730,0.4543787139239653,0.5563223027668484,0.7185068416165491,1.5828271980687065,0.0018651818089067053,7.131681165155142e-06
740,0.4452548901278457,0.5609966775460762,0.7164275980466616,1.589936553265254,0.00190426967357291,7.457391440666102e-06
750,0.436032183368739,0.565546459616628,0.7143303386471052,1.5971513265884962,0.0019445239247898836,7.800940326670324e-06
760,0.4267119162317725,0.5699696971612827,0.7122155873149738,1.6044711639997422,0.0019859732678141092,8.163323726879282e-06
770,0.41729545116295874,0.5742644345968612,0.7100838827237679,1.611895643960318,0.0020286466908177,8.545589919826945e-06
780,0.40778419142988603,0.5784287131704603,0.7079357786332998,1.6194242735589484,0.0020725734199652035,8.948841637046317e-06
790,0.39817958209293064,0.5824605715984045,0.7057718441997873,1.627056484510438,0.002117782869604753,9.3742381300244e-06
800,0.388483110985977,0.586358046749618,0.7035926642855044,1.6347916290258164,0.0021643045872693826,9.822997210488576e-06
810,0.3786963097055253,0.5901191743751517,0.7013988397672927,1.6426289755547112,0.0022121681931777624,1.0296397246390753e-05
820,0.36882075460695896,0.5937419898856234,0.699190987843188,1.6505677044012284,0.0022614033139180204,1.0795779093577093e-05
830,0.3588580678066238,0.5972245291783542,0.6969697423363566,1.6586069032152693,0.0023120395099944326,1.1322547940559995e-05
840,0.34880991818824947,0.600564829515998,0.6947357539954665,1.6667455623619278,0.0023641061969147895,1.1878175041042257e-05
850,0.33867802241211425,0.6037609304584763,0.6924896907905606,1.6749825701723442,0.0024176325594961914,1.246419930587776e-05
860,0.32846414592521567,0.6068108748500378,0.6902322382034254,1.6833167080802316,0.0024726474590695473,1.3082228722994445e-05
870,0.318170103970568,0.6097127098632588,0.6879640995113787,1.6917466456491943,0.0025291793332681794,1.3733941570456566e-05
880,0.30779776259359826,0.6124644881018018,0.6856859960633288,1.7002709354969021,0.002587256088094226,1.4421087384317013e-05
890,0.29734903964345377,0.6150642687637281,0.6833986675468725,1.7088880081232787,0.0026469049819683385,1.5145487639220705e-05
900,0.28682590576687444,0.6175101188671425,0.6811028722451293,1.7175961666509263,0.0027081525014837253,1.590903609588696e-05
910,0.2762303853921109,0.6198001145399166,0.6787993872819212,1.726393581487276,0.0027710242286053724,1.671369876564859e-05
920,0.2655645577001972,0.6219323423751952,0.676489008853825,1.7352782849191792,0.0028355446990799434,1.7561513438196503e-05
930,0.2548305575807023,0.6239049008543364,0.6741725524475387,1.744248165652076,0.0029017372518514353,1.8454588714607554e-05
940,0.2440305765689,0.6257159018388763,0.6718508530409173,1.7533009633072825,0.002969623869312768,1.9395102483674236e-05
950,0.23316686376110402,0.6273634721330272,0.6695247652859379,1.76243426289251,0.003039225008265027,2.038529977557468e-05
960,0.22224172670471784,0.6288457551181301,0.6671951636717738,1.7716454892623144,0.0031105594215032773,2.1427489923077096e-05
970,0.21125753225934973,0.6301609124603772,0.6648629426660592,1.780931901586869,0.0031836439700027763,2.2524042956868853e-05
980,0.20021670742513692,0.6313071258930002,0.6625290168323414,1.790290587849236,0.0032584934257409537,2.367738515831203e-05
990,0.18912174013421817,0.6322825990739779,0.6601943209216232,1.799718459393122,0.0033351202652601324,2.4889993690082704e-05
1000,0.17797518000108484,0.6330855595201654,0.6578598099358148,1.8092122455450312,0.00341353445415332,2.6164390222853852e-05
1010,0.16677963902733195,0.6337142606185714,0.655526459160826,1.8187684883366644,0.0034937432227412665,2.750313347458541e-05
1020,0.15553779225612285,0.634166983715315,0.6531952641669472,1.8283835373554256,0.0035757508333031556,2.8908810578224e-05
1030,0.14425237837147406,0.6344420402825817,0.6508672407740904,1.8380535447529451,0.0036595583393263034,3.0384027193859688e-05
1040,0.13292620023726556,0.6345377741636558,0.6485434249793838,1.847774460443591,0.003745163337351939,3.193139628280966e-05
1050,0.12156212537068314,0.6344525638958572,0.6462248728445504,1.857542027527013,0.0038325597121144153,3.355352546388008e-05
1060,0.1101630863446091,0.6341848251109182,0.6439126603404383,1.8673517779708384,0.003921737375800111,3.525300287639555e-05
1070,0.0987320811132961,0.6337330130120369,0.6416078831460132,1.877199028591701,0.00401268200238944,3.703238148067883e-05
1080,0.08727217325548764,0.6330956249265124,0.6393116563990933,1.8870788773747422,0.0041053747581896935,3.889416173470055e-05
1090,0.07578649212899144,0.6322712029325105,0.6370251143960597,1.896986200173703,0.004199792029818715,4.0840772595827126e-05
1100,0.06427823293056945,0.6312583365581292,0.6347494102377726,1.9069156478355194,0.004295905151056806,4.287455080913149e-05
1110,0.05275065665488545,0.6300556655505282,0.6324857154189064,1.91686164379506,0.00439368013014747,4.4997718458808725e-05
1120,0.041207089946147614,0.628661882712459,0.6302352193579388,1.9268183821872007,0.004493077379294139,4.721235877699456e-05
1130,0.029650924836004677,0.627075736803071,0.6279991288650505,1.9367798265247875,0.004594051448269023,4.9520390224870124e-05
1140,0.018085618361202583,0.6252960354993999,0.6257786675452477,1.9467397089921916,0.004696550764219208,5.1923538884431115e-05
1150,0.006514692054485777,0.623321648414432,0.6235750751340831,1.9566915304050463,0.004800517379923032,5.4423309225782645e-05
1160,-0.005058268697761707,0.6211515101671287,0.6213896067634533,1.9666285608873135,0.004905886732912512,5.702095334425357e-05
1170,-0.01662961543759306,0.6187846234992344,0.6192235321550544,1.9765438413171357,0.005012587418035263,5.971743879399627e-05
1180,-0.028195637563664777,0.6162200624331494,0.617078134739237,1.9864301855927236,0.005120540976175529,6.25134151798322e-05
1190,-0.03975256341173405,0.6134569754645535,0.614954710697161,1.9962801837690254,0.0052296617019891535,6.540917970677966e-05
1200,-0.05129656149355426,0.6104945887828885,0.6128545679243574,2.006086206114908,0.005339856473625403,6.840464192655943e-05
1210,-0.0628237419000112,0.6073322095122021,0.6107790249140375,2.0158404081390238,0.00545102460750759,7.149928796204047e-05
