paso,geo_x,geo_y,geo_radio,newton_x,newton_y,newton_radio,delta_radio
0,0.7999986649055901,0.0008999999988916,0.8,0.8,0.0,0.8,0.0
10,0.7999118838667801,0.0098996694839258,0.799977195103306,0.7999841770549466,0.005031546652854201,0.8,-2.2804896694039734e-05
20,0.7996915970244384,0.0188976865626643,0.7999221335994994,0.7999367088457005,0.010062894270992847,0.8,-7.786640050067017e-05
30,0.7993378156633543,0.0278925488317778,0.7998348215076583,0.7998575972499786,0.015093843827573672,0.8,-0.00016517849234176651
40,0.798850559265532,0.0368827533489013,0.799715268380723,0.7997468453972272,0.02012419631150068,0.8,-0.0002847316192770011
50,0.7982298555336942,0.0458667964074133,0.799563487314169,0.7996044576684973,0.02515375273529648,0.8,-0.0004365126858310031
60,0.7974757404233737,0.0548431733114144,0.7993794949578936,0.799430439696272,0.030182314142973746,0.8,-0.0006205050421064229
70,0.7965882581836196,0.0638103781509718,0.7991633115313254,0.7992247983642435,0.03520968161790533,0.8,-0.0008366884686746845
80,0.79556746140635,0.0727669035777016,0.7989149608417689,0.7989875418070405,0.04023565629069295,0.8,-0.0010850391582311048
90,0.7944134110843915,0.0817112405807575,0.798634470305997,0.7987186794099066,0.045260039347033876,0.8,-0.0013655296940030537
100,0.793126176678248,0.0906418782633012,0.7983218709751039,0.7984182218083289,0.050282632035585556,0.8,-0.0016781290248961689
110,0.7917058361916577,0.0995573036195295,0.7979771975626444,0.7980861808876182,0.055303235675827636,0.8,-0.002022802437355642
120,0.790152476255991,0.108456001312336,0.7976004884760727,0.7977225697824372,0.06032165166592127,0.8,-0.0023995115239273668
130,0.7884661922235611,0.117336453451691,0.7971917858515079,0.7973274028762823,0.0653376814905653,0.8,-0.002808214148492194
140,0.7866470882699155,0.1261971393738225,0.7967511355918497,0.7969006958009144,0.07035112672884901,0.8,-0.0032488644081503093
150,0.7846952775051911,0.1350365354212904,0.7962785874082727,0.7964424654357397,0.075361789062101,0.8,-0.0037214125917273133
160,0.7826108820946187,0.1438531147240443,0.7957741948651309,0.795952729907143,0.08036947028173436,0.8,-0.004225805134869143
170,0.7803940333882665,0.1526453469815664,0.7952380154282973,0.7954315085877703,0.08537397229708711,0.8,-0.004761984571702738
180,0.7780448720601253,0.1614116982461995,0.7946701105169843,0.7948788220957623,0.09037509714325827,0.8,-0.005329889483015715
190,0.7755635482566403,0.1701506307077726,0.7940705455590712,0.794294692293939,0.09537264698893869,0.8,-0.00592945444092885
200,0.7729502217548017,0.178860602479635,0.7934393900499825,0.7936791422889349,0.10036642414423683,0.8,-0.006560609950017504
210,0.7702050621299115,0.1875400673862242,0.7927767176151579,0.7930321964302843,0.10535623106849888,0.8,-0.007223282384842156
220,0.7673282489331547,0.1961874747522918,0.7920826060761547,0.7923538803094597,0.11034187037812287,0.8,-0.007917393923845384
230,0.7643199718791021,0.2048012691939253,0.7913571375204279,0.7916442207588577,0.11532314485436664,0.8,-0.008642862479572133
240,0.7611804310432878,0.2133798904115081,0.7906003983748378,0.7909032458507381,0.12029985745114935,0.8,-0.00939960162516229
250,0.75790983707,0.2219217729847687,0.7898124794829293,0.7901309848961147,0.12527181130284612,0.8,-0.010187520517070725
260,0.7545084113904389,0.2304253461700795,0.7889934761860375,0.7893274684435937,0.13023880973207544,0.8,-0.011006523813962499
270,0.7509763864513961,0.238889033700175,0.7881434884082703,0.7884927282781669,0.13520065625747926,0.8,-0.011856511591729735
280,0.7473140059546166,0.247311253586468,0.7872626207454214,0.7876267974199536,0.1401571546014952,0.8,-0.012737379254578629
290,0.7435215251070125,0.2556904179241532,0.7863509825578713,0.7867297101228949,0.14510810869812085,0.8,-0.013649017442128764
300,0.7395992108819006,0.2640249327003008,0.785408688067532,0.7858015018733986,0.15005332270066973,0.8,-0.014591311932468098
310,0.7355473422914421,0.2723131976051495,0.7844358564588955,0.7848422093889345,0.15499260098951811,0.8,-0.01556414354110458
320,0.7313662106704671,0.2805536058468252,0.783432611984244,0.7838518706165836,0.15992574817984367,0.8,-0.01656738801575608
330,0.7270561199718761,0.2887445439697224,0.7823990840730856,0.7828305247315357,0.16485256912935406,0.8,-0.017600915926914484
340,0.7226173870738059,0.2968843916767982,0.7813354074458746,0.7817782121355406,0.1697728689460063,0.8,-0.018664592554125448
350,0.718050342098763,0.3049715216560451,0.7802417222320822,0.7806949744553089,0.17468645299571636,0.8,-0.01975827776791783
360,0.7133553287449225,0.3130042994114206,0.7791181740926789,0.7795808545408667,0.17959312691005808,0.8,-0.020881825907321128
370,0.7085327046298013,0.3209810830985314,0.7779649143470942,0.7784358964638591,0.18449269659395212,0.8,-0.022035085652905795
380,0.7035828416465111,0.3289002233653811,0.7767821001047177,0.7772601455158082,0.1893849682333438,0.8,-0.023217899895282335
390,0.6985061263328056,0.3367600631985128,0.7755698944010045,0.7760536482063207,0.19426974830286972,0.8,-0.0244301055989955
400,0.6933029602531389,0.3445589377748918,0.7743284663382528,0.774816452261248,0.1991468435735133,0.8,-0.025671533661747237
410,0.6879737603939451,0.352295174319894,0.7730579912311126,0.7735486066207987,0.20401606112024837,0.8,-0.026942008768887415
420,0.6825189595723654,0.3599670919717863,0.7717586507568924,0.7722501614376027,0.20887720832967058,0.8,-0.028241349243107616
430,0.6769390068586382,0.3675730016531027,0.7704306331107248,0.770921168074727,0.21373009290761705,0.8,-0.02956936688927525
440,0.6712343680123714,0.3751112059493441,0.7690741331656492,0.7695616791036439,0.2185745228867727,0.8,-0.030925866834350835
450,0.6654055259329212,0.3825799989954499,0.7676893526376758,0.7681717483021516,0.22341030663426406,0.8,-0.03231064736232425
460,0.6594529811240915,0.3899776663705146,0.7662765002558799,0.7667514306522469,0.2282372528592398,0.8,-0.033723499744120145
470,0.6533772521733722,0.3973024850012447,0.7648357919375879,0.7653007823379503,0.23305517062043776,0.8,-0.03516420806241216
480,0.6471788762459352,0.4045527230746774,0.7633674509687008,0.7638198607430828,0.23786386933373782,0.8,-0.0366325490312992
490,0.6408584095935914,0.4117266399607074,0.7618717081892045,0.7623087244489974,0.24266315877970135,0.8,-0.03812829181079558
500,0.6344164280789226,0.4188224861449983,0.7603488021839094,0.7607674332322603,0.2474528491110951,0.8,-0.03965119781609061
510,0.6278535277147833,0.4258385031728783,0.7587989794784585,0.759196048062287,0.252232750860402,0.8,-0.04120102052154151
520,0.6211703252193705,0.4327729236048532,0.7572224947406367,0.7575946310989307,0.25700267494731494,0.8,-0.0427775052593633
530,0.6143674585870438,0.4396239709843966,0.7556196109870067,0.7559632456900227,0.2617624326862173,0.8,-0.04438038901299335
540,0.607445587675074,0.4463898598187109,0.7539905997948944,0.7543019563688674,0.26651183579364607,0.8,-0.04600940020510569
550,0.6004053948064857,0.4530687955731832,0.752335741519735,0.7526108288516888,0.2712506963957401,0.8,-0.04766425848026501
560,0.5932475853891455,0.4596589746802925,0.7506553255177839,0.7508899300350316,0.2759788270356724,0.8,-0.04934467448221613
570,0.5859728885512335,0.4661585845637621,0.7489496503741883,0.749139327993114,0.2806960406810644,0.8,-0.051050349625811786
580,0.5785820577932249,0.4725658036787822,0.7472190241364038,0.7473590919751358,0.28540215073138536,0.8,-0.0527809758635962
590,0.5710758716564793,0.4788788015691663,0.7454637645529307,0.7455492924025392,0.29009697102533355,0.8,-0.054536235447069314
600,0.5634551344085283,0.4850957389423417,0.7436841993173294,0.7437100008662217,0.2947803158481999,0.8,-0.056315800682670614
610,0.5557206767451189,0.4912147677631118,0.7418806663174633,0.7418412901237059,0.29945199993921506,0.8,-0.058119333682536745
620,0.5478733565090523,0.4972340313671672,0.7400535138899051,0.7399432340962601,0.30411183849887735,0.8,-0.0599464861100949
630,0.539914059425829,0.5031516645953621,0.7382031010794197,0.738015907865975,0.308759647196263,0.8,-0.06179689892058038
640,0.5318436998560773,0.5089657939498139,0.7363297979034263,0.7360593876727931,0.31339524217631787,0.8,-0.0636702020965737
650,0.5236632215647145,0.5146745377729222,0.7344339856213191,0.7340737509114933,0.31801844006713037,0.8,-0.06556601437868093
660,0.5153735985067542,0.5202760064504505,0.7325160570085085,0.7320590761286289,0.322629057987185,0.8,-0.06748394299149152
670,0.5069758356296293,0.5257683026398491,0.7305764166350209,0.730015443019421,0.3272269135525967,0.8,-0.06942358336497911
680,0.4984709696918621,0.531149521525048,0.7286154811484719,0.7279429324246055,0.3318118248843256,0.8,-0.07138451885152819
690,0.4898600700978686,0.5364177510989849,0.7266336795612022,0.7258416263272356,0.3363836106153715,0.8,-0.07336632043879787
700,0.4811442397486265,0.5415710724751807,0.7246314535413394,0.7237116078494386,0.3409420898979483,0.8,-0.07536854645866065
710,0.4723246159078946,0.5466075602297176,0.7226092577075169,0.7215529612491277,0.34548708241063786,0.8,-0.0773907422924831
720,0.4634023710836011,0.551525282775016,0.7205675599269522,0.7193657719166695,0.35001840836552345,0.8,-0.07943244007304784
730,0.4543787139239653,0.5563223027668484,0.7185068416165491,0.7171501263715054,0.35453588851530093,0.8,-0.08149315838345095
740,0.4452548901278457,0.5609966775460762,0.7164275980466616,0.7149061122587299,0.3590393441603697,0.8,-0.08357240195333848
750,0.436032183368739,0.565546459616628,0.7143303386471052,0.7126338183456227,0.3635285971559019,0.8,-0.08566966135289489
760,0.4267119162317725,0.5699696971612827,0.7122155873149738,0.7103333345181384,0.36800346991888877,0.8,-0.08778441268502624
770,0.4172954511629587,0.5742644345968612,0.7100838827237679,0.70800475177735,0.3724637854351657,0.8,-0.08991611727623217
780,0.407784191429886,0.5784287131704603,0.7079357786332998,0.7056481622358493,0.3769093672664143,0.8,-0.09206422136670023
790,0.3981795820929306,0.5824605715984045,0.7057718441997873,0.7032636591141032,0.38134003955714196,0.8,-0.09422815580021271
800,0.388483110985977,0.586358046749618,0.7035926642855044,0.7008513367367666,0.3857556270416382,0.8,-0.09640733571449567
810,0.3786963097055253,0.5901191743751517,0.7013988397672927,0.6984112905289506,0.3901559550509076,0.8,-0.09860116023270737
820,0.3688207546069589,0.5937419898856234,0.699190987843188,0.6959436170124478,0.3945408495195795,0.8,-0.10080901215681204
830,0.3588580678066238,0.5972245291783542,0.6969697423363566,0.6934484138019144,0.3989101369927932,0.8,-0.10303025766364349
840,0.3488099181882494,0.600564829515998,0.6947357539954665,0.6909257796010085,0.4032636446330597,0.8,-0.10526424600453355
850,0.3386780224121142,0.6037609304584763,0.6924896907905606,0.6883758141984861,0.40760120022709856,0.8,-0.10751030920943949
860,0.3284641459252156,0.6068108748500378,0.6902322382034254,0.6857986184642535,0.41192263219265013,0.8,-0.10976776179657466
870,0.318170103970568,0.6097127098632588,0.6879640995113787,0.6831942943453767,0.41622776958526314,0.8,-0.11203590048862133
880,0.3077977625935982,0.6124644881018018,0.6856859960633288,0.6805629448620492,0.4205164421050566,0.8,-0.11431400393667124
890,0.2973490396434537,0.6150642687637281,0.6833986675468725,0.677904674103517,0.42478848010345627,0.8,-0.11660133245312754
900,0.2868259057668744,0.6175101188671425,0.6811028722451293,0.6752195872239604,0.429043714589906,0.8,-0.11889712775487071
910,0.2762303853921109,0.6198001145399166,0.6787993872819212,0.6725077904383346,0.433281977238552,0.8,-0.1212006127180788
920,0.2655645577001972,0.6219323423751952,0.676489008853825,0.6697693910181686,0.4375031003949019,0.8,-0.12351099114617503
930,0.2548305575807023,0.6239049008543364,0.6741725524475387,0.6670044972873214,0.44170691708245613,0.8,-0.12582744755246134
940,0.2440305765689,0.6257159018388763,0.6718508530409173,0.6642132186176967,0.4458932610093137,0.8,-0.12814914695908275
950,0.233166863761104,0.6273634721330272,0.6695247652859379,0.6613956654249171,0.4500619665747497,0.8,-0.1304752347140622
960,0.2222417267047178,0.6288457551181301,0.6671951636717738,0.6585519491639563,0.4542128688757663,0.8,-0.13280483632822626
970,0.2112575322593497,0.6301609124603772,0.6648629426660592,0.6556821823247293,0.45834580371361594,0.8,-0.13513705733394088
980,0.2002167074251369,0.6313071258930002,0.6625290168323414,0.6527864784276437,0.4624606076002966,0.8,-0.1374709831676586
990,0.1891217401342181,0.6322825990739779,0.6601943209216232,0.6498649520191089,0.4665571177650186,0.8,-0.13980567907837682
1000,0.1779751800010848,0.6330855595201654,0.6578598099358148,0.6469177186670041,0.47063517216064404,0.8,-0.1421401900641852
1010,0.1667796390273319,0.6337142606185714,0.655526459160826,0.6439448949561078,0.47469460947009634,0.8,-0.14447354083917407
1020,0.1555377922561228,0.634166983715315,0.6531952641669472,0.640946598483486,0.47873526911274145,0.8,-0.14680473583305287
1030,0.144252378371474,0.6344420402825817,0.6508672407740904,0.6379229478538393,0.4827569912507409,0.8,-0.14913275922590963
1040,0.1329262002372655,0.6345377741636558,0.6485434249793838,0.634874062674812,0.4867596167953736,0.8,-0.15145657502061627
1050,0.1215621253706831,0.6344525638958572,0.6462248728445504,0.6318000635522609,0.49074298741332945,0.8,-0.1537751271554496
1060,0.1101630863446091,0.6341848251109182,0.6439126603404383,0.628701072085484,0.49470694553297223,0.8,-0.15608733965956179
1070,0.0987320811132961,0.6337330130120369,0.6416078831460132,0.6255772108624105,0.4986513343505733,0.8,-0.1583921168539868
1080,0.0872721732554876,0.6330956249265124,0.6393116563990933,0.6224286034547517,0.5025759978365139,0.8,-0.16068834360090678
1090,0.0757864921289914,0.6322712029325105,0.6370251143960597,0.6192553744131125,0.506480780741457,0.8,-0.16297488560394036
1100,0.0642782329305694,0.6312583365581292,0.6347494102377726,0.6160576492620651,0.5103655286024894,0.8,-0.1652505897622274
1110,0.0527506566548854,0.6300556655505282,0.6324857154189064,0.6128355544951825,0.5142300877492314,0.8,-0.16751428458109363
1120,0.0412070899461476,0.628661882712459,0.6302352193579388,0.6095892175700361,0.5180743053099153,0.8,-0.16976478064206124
1130,0.0296509248360046,0.627075736803071,0.6279991288650505,0.6063187669031529,0.5218980292174327,0.8,-0.17200087113494955
1140,0.0180856183612025,0.6252960354993999,0.6257786675452477,0.6030243318649356,0.5257011082153509,0.8,-0.17422133245475235
1150,0.0065146920544857,0.623321648414432,0.6235750751340831,0.5997060427745461,0.5294833918638945,0.8,-0.176424924865917
1160,-0.0050582686977617,0.6211515101671287,0.6213896067634533,0.596364030894749,0.5332447305458976,0.8,-0.1786103932365467
1170,-0.016629615437593,0.6187846234992344,0.6192235321550544,0.5929984284267202,0.5369849754727222,0.8,-0.1807764678449456
1180,-0.0281956375636647,0.6162200624331494,0.617078134739237,0.589609368504817,0.5407039786901432,0.8,-0.18292186526076304
1190,-0.039752563411734,0.6134569754645535,0.614954710697161,0.5861969851913119,0.5444015930842019,0.8,-0.18504528930283903
1200,-0.0512965614935542,0.6104945887828885,0.6128545679243574,0.5827614134710888,0.5480776723870248,0.8,-0.1871454320756426
1210,-0.0628237419000112,0.6073322095122021,0.6107790249140375,0.5793027892463042,0.5517320711826095,0.8,-0.18922097508596258
1220,-0.0743301578740669,0.6039692289642485,0.6087294095587478,0.5758212493310109,0.555364644912578,0.8,-0.19127059044125228
1230,-0.0858118075587465,0.6004051258951338,0.6067070578692711,0.5723169314457456,0.558975249881894,0.8,-0.1932929421307289
1240,-0.0972646359250165,0.5966394697561883,0.6047133126100008,0.5687899742120819,0.5625637432645471,0.8,-0.19528668738999921
1250,-0.1086845368839548,0.5926719239291453,0.6027495218503804,0.565240517147146,0.5661299831092035,0.8,-0.1972504781496196
1260,-0.1200673555871038,0.5885022489351216,0.600817037432397,0.5616687006580982,0.5696738283448204,0.8,-0.19918296256760304
1270,-0.1314088909183298,0.5841303056063286,0.5989172133545517,0.5580746660365784,0.5731951387862265,0.8,-0.20108278664544832
1280,-0.1427048981798719,0.5795560582088932,0.5970514040731916,0.5544585554531177,0.576693775139668,0.8,-0.20294859592680847
1290,-0.1539510919745729,0.5747795775046596,0.5952209627225804,0.5508205119515138,0.5801695990083178,0.8,-0.20477903727741964
1300,-0.1651431492855155,0.5698010437393703,0.5934272392556212,0.5471606794431726,0.5836224728977507,0.8,-0.2065727607443788
1310,-0.1762767127534692,0.564620749544188,0.5916715785076836,0.5434792027014159,0.5870522602213821,0.8,-0.20832842149231645
1320,-0.1873473941516669,0.5592391027371495,0.5899553181865776,0.5397762273557541,0.5904588253058711,0.8,-0.2100446818134224
1330,-0.198350778056487,0.553656629010827,0.5882797867923101,0.5360518998861259,0.5938420333964874,0.8,-0.21172021320768997
1340,-0.2092824257116236,0.5478739744922101,0.5866463014708745,0.5323063676171035,0.5972017506624415,0.8,-0.21335369852912556
1350,-0.2201378790822781,0.5418919081606616,0.5850561658069576,0.5285397787120653,0.6005378442021795,0.8,-0.21494383419304242
1360,-0.2309126650948171,0.5357113241096948,0.5835106675610835,0.5247522821673342,0.603850182048639,0.8,-0.21648933243891655
1370,-0.2416023000562112,0.5293332436383187,0.5820110763573474,0.5209440278062847,0.6071386331744711,0.8,-0.21798892364265265
1380,-0.2522022942464104,0.5227588171577827,0.5805586413285336,0.5171151662734155,0.6104030674972218,0.8,-0.2194413586714664
1390,-0.2627081566756279,0.5159893258997442,0.5791545887260271,0.5132658490283907,0.6136433558844789,0.8,-0.22084541127397295
1400,-0.2731153999973093,0.5090261834121758,0.5778001195025373,0.5093962283400485,0.6168593701589797,0.8,-0.22219988049746275
1410,-0.2834195455663601,0.501870936829728,0.5764964068762245,0.5055064572803778,0.6200509831036812,0.8,-0.22350359312377555
1420,-0.293616128631015,0.494525267905786,0.5752445938853677,0.5015966897184628,0.623218068466793,0.8,-0.2247554061146323
1430,-0.3037007036455531,0.4869909937940859,0.5740457909432126,0.4976670803143969,0.6263605009667705,0.8,-0.22595420905678743
1440,-0.3136688496899172,0.4792700675685,0.5729010734030874,0.4937177845131642,0.629478156297272,0.8,-0.22709892659691266
1450,-0.3235161759811925,0.4713645784704708,0.5718114791442713,0.489748958538491,0.632570911132075,0.8,-0.22818852085572872
1460,-0.33323832746085,0.4632767518745411,0.5707780061894313,0.48576075938666535,0.635638643129955,0.8,-0.22922199381056874
1470,-0.342830990440676,0.4550089489635179,0.569801610364692,0.48175334482032767,0.6386812309395248,0.8,-0.23019838963530803
1480,-0.3522898982894068,0.4465636661059999,0.5688832030135864,0.4777268733622291,0.641698554204035,0.8,-0.23111679698641363
1490,-0.3616108371412783,0.4379435339302878,0.5680236487762268,0.47368150428896094,0.6446904935661353,0.8,-0.23197635122377325
1500,-0.3707896516069912,0.4291513160900817,0.5672237634450326,0.46961739762465493,0.6476569306725952,0.8,-0.23277623655496749
1510,-0.3798222504669999,0.4201899077188355,0.566484311908262,0.4655347141346522,0.6505977481789863,0.8,-0.23351568809173806
1520,-0.388704612326568,0.4110623335711733,0.5658060061924036,0.46143361531914384,0.6535128297543243,0.8,-0.23419399380759642
1530,-0.3974327912116961,0.4017717458513737,0.5651895036141911,0.45731426340678305,0.65640206008567,0.8,-0.23481049638580898
1540,-0.4060029220848413,0.3923214217305681,0.5646354050526152,0.4531768213482672,0.6592653248826915,0.8,-0.23536459494738482
1550,-0.414411226259301,0.382714760555977,0.5641442533508194,0.4490214528098922,0.662102510882185,0.8,-0.23585574664918063
