paso,x,y,radio,f_net,gap,freno
1520,-0.388704612326568,0.4110623335711733,0.5658060061924036,2.2435697115485445,0.008511074114457,0.0001861771162815
1530,-0.3974327912116961,0.4017717458513737,0.5651895036141911,2.246922358778722,0.0085630978727694,0.0001886312400519
1540,-0.4060029220848413,0.3923214217305681,0.5646354050526152,2.2499412846174858,0.0086101236945231,0.0001908644732597
1550,-0.414411226259301,0.382714760555977,0.5641442533508194,2.2526217288652566,0.0086520205504749,0.0001928660619053
1560,-0.4226540166912433,0.3729552807571994,0.5637165318571713,2.2549594373420248,0.0086886706412431,0.0001946262355694
1570,-0.4307277031286368,0.3630466164562659,0.5633526631141312,2.256950678793485,0.0087199701043565,0.0001961362999574
1580,-0.4386287970967512,0.3529925137898408,0.5630530077027592,2.258592259855274,0.0087458296444295,0.0001973887205056
1590,-0.4463539167004841,0.342796826953611,0.5628178632498604,2.2598815379601773,0.0087661750799553,0.0001983771957676
1600,-0.4538997912245007,0.3324635139804889,0.5626474636038354,2.2608164320878688,0.0087809478010085,0.0001990967194407
1610,-0.4612632655130582,0.321996632265797,0.562541978184316,2.2613954312728746,0.0087901051330295,0.0001995436300569
1620,-0.4684413041124126,0.3114003338540494,0.562501511509618,2.261617600803516,0.008793620602825,0.0001997156475473
1630,-0.4754309951598639,0.3006788605033032,0.5625261029049561,2.261482586062628,0.0087914841039445,0.0001996118960936
1640,-0.4822295540047833,0.2898365385443021,0.5626157263932385,2.260990613979475,0.0087837019596564,0.000199232912901
1650,-0.4888343265483585,0.2788777735527528,0.5627702907691194,2.260142492081361,0.0087702968828547,0.0001985806427488
1660,-0.4952427922902913,0.2678070448540761,0.5629896398558384,2.258939605152566,0.0087513078333272,0.0001976584184092
1670,-0.5014525670722595,0.2566288998808118,0.5632735529432261,2.257383909527411,0.0087267897739255,0.0001964709272499
1680,-0.5074614055096046,0.2453479484035634,0.5636217454041355,2.255477925062918,0.0086968133282508,0.000195024164557
1690,-0.5132672031044089,0.2339688566569019,0.5640338694854549,2.253224724854751,0.0086614643435038,0.0001933253743244
1700,-0.5188679980348565,0.2224963413820336,0.5645095152688104,2.2506279227773662,0.0086208433631247,0.000191382978443
1710,-0.5242619726175376,0.2109351638082492,0.5650482117950625,2.2476916589456364,0.0085750650147488,0.0001892064953965
1720,-0.5294474544411031,0.1992901235952303,0.5656494283457626,2.2444205832101947,0.0085242573198163,0.0001868064497119
1730,-0.5344229171714237,0.1875660527581816,0.5663125758738755,2.2408198368124053,0.0084685609318938,0.000184194273532
1740,-0.5391869810301148,0.1757678095974956,0.5670370085752867,2.2368950323368955,0.0084081283113666,0.0001813822017641
1750,-0.5437384129499545,0.1639002726542442,0.567822025591919,2.23265223210999,0.008343122844655,0.0001783831623157
1760,-0.5480761264123181,0.1519683347122367,0.5686668728366788,2.228097925200996,0.0082737179164796,0.0001752106629545
1770,-0.5521991809732832,0.139976896866692,0.5695707449299475,2.223239003190083,0.0082000959439472,0.0001718786763273
1780,-0.5561067814864982,0.1279308626787616,0.5705327872369236,2.21808273487147,0.0081224473813599,0.0001684015246375
1790,-0.5597982770322417,0.115835132434213,0.5715520979948138,2.2126367400637017,0.008040969704654,0.0001647937654246
1800,-0.5632731595633435,0.1036945975235572,0.572627730518666,2.2069089627001093,0.0079558663842724,0.0001610700798008
1810,-0.566531062279748,0.0915141349597905,0.5737586954745237,2.2009076433720693,0.0078673458550571,0.0001572451644025
1820,-0.5695717577445081,0.0792986020487373,0.574943963208567,2.194641291495539,0.0077756204914334,0.0001533336281846
1830,-0.5723951557548621,0.067052831225731,0.5761824661209833,2.188118657267612,0.0076809055957551,0.0001493498950576
1840,-0.5750013009828061,0.0547816250710809,0.577473101073473,2.1813487035746943,0.0075834184071914,0.0001453081132157
1850,-0.5773903704001782,0.0424897515154482,0.5788147318195316,2.1743405780074143,0.0074833771379889,0.0001412220718577
1860,-0.5795626705037757,0.0301819392449114,0.5802061914469756,2.167103585129735,0.0073810000433319,0.0001371051258448
1870,-0.5815186343563855,0.0178628733141528,0.5816462848225533,2.15964715914109,0.0072765045303719,0.0001329701286894
1880,-0.583258818459849,0.005537190974854,0.5831337910289237,2.1519808370608984,0.0071701063113211,0.0001288293741185
1890,-0.5847838994764177,-0.0067905222749353,0.5846674657847885,2.144114232554556,0.0070620186047977,0.0001246945463143
1900,-0.5860946708146585,-0.0191157364159906,0.5862460438394812,2.136057010509425,0.0069524513889108,0.0001205766788026
1910,-0.5871920390960768,-0.0314339804044597,0.5878682413339015,2.1278188624582004,0.0068416107088624,0.0001164861218392
1920,-0.5880770205184419,-0.0437408454377748,0.5895327581202776,2.119409482935751,0.0067296980411588,0.000112432518033
1930,-0.5887507371315014,-0.0560319879890949,0.5912382800338537,2.1108385468442816,0.0066169097158561,0.0001084247858561
1940,-0.5892144130404161,-0.0683031326105506,0.592983481110234,2.1021156878903167,0.0065034363976241,0.0001044711106043
1950,-0.5894693705517977,-0.0805500745065953,0.5947670257427516,2.093250478145936,0.006389462625817,0.0001005789423116
1960,-0.5895170262767281,-0.0927686818797345,0.5965875707748627,2.084252408775947,0.0062751664131814,9.67550000682884e-05
1970,-0.5893588872045705,-0.1049548980518014,0.5984437675232013,2.075130871962223,0.006160718902318,9.300528215513928e-05
1980,-0.5889965467607682,-0.1171047433647638,0.6003342637275435,2.0658951440465523,0.0060462840785586,8.933508138540154e-05
1990,-0.5884316808611701,-0.1292143168657941,0.6022577054245323,2.056554369903969,0.0059320185375058,8.574900503047314e-05
2000,-0.5876660439747384,-0.1412797977820001,0.6042127387425972,2.0471175485497217,0.0058180713051297,8.225099870835683e-05
2010,-0.5867014652057728,-0.1532974467908091,0.6061980116160579,2.037593519974917,0.0057045837080126,7.884437362175684e-05
2020,-0.5855398444060634,-0.1652636070925132,0.6082121754169313,2.027990953198419,0.0055916892910813,7.553183655136134e-05
2030,-0.5841831483266359,-0.177174705291931,0.6102538865034619,2.018318335515762,0.0054795137799656,7.231552203523365e-05
2040,-0.5826334068180127,-0.1890272520965123,0.612321807684865,2.008583962919813,0.0053681750849705,6.919702619662039e-05
2050,-0.580892709087169,-0.2008178428385231,0.6144146096022108,1.9987959316624595,0.0052577833435421,6.617744171852839e-05
2060,-0.5789632000186214,-0.2125431578291862,0.6165309720257751,1.9889621309219827,0.0051484409980436,6.325739350292855e-05
