paso,x,y,radio,f_net,gap,freno,theta_rad,theta_deg,F_newton_norm,phase_cos_2theta,F_GEO_public_norm,ratio_GEO_Newton,dr_step,dtheta_step,curvature_proxy,E_newton_like,E_GEO_like
0,0.7999986649055901,0.0008999999988916,0.8,1.3350944099115685,0.0008268077645987,1.231519016041104e-06,0.001125001401482756,0.0644578322512646,1.5624999999999998,0.9999974687447613,1.5624960449136893,0.9999974687447613,-2.2804896694039734e-05,0.01125031681198476,5.928723618552761e-07,-1.25,-1.2499968359309515
10,0.7999118838667801,0.0098996694839258,0.799977195103306,1.3351560763627768,0.0008269961305474,1.2321234712342115e-06,0.012375318213467516,0.7090535037630668,1.5625890854369133,0.9996937186342204,1.5621104935176735,0.9996937186342204,-3.893320025033509e-05,0.011250909684346616,1.1162335521591737e-06,-1.2500356336668619,-1.2496527710457093
20,0.7996915970244384,0.0188976865626643,0.7999221335994994,1.335304983596047,0.0008274511092544,1.2335887822144405e-06,0.02362682077017599,1.3537171134431174,1.5628042100407493,0.9988837544097952,1.5610597367329377,0.9988837544097952,-7.118679782386339e-05,0.011252549279089079,2.0935774578522554e-06,-1.2501216780940763,-1.2487262352836843
30,0.7993378156633543,0.0278925488317778,0.7998348215076583,1.3355411552859862,0.0008281730904428,1.2359178449414066e-06,0.034880416771645675,1.9985006686726294,1.563145428374241,0.9975676997058351,1.5593433892889839,0.9975676997058351,-0.00010343260938816545,0.01125509683926232,3.0018658067204607e-06,-1.2502581446942231,-1.2472171414411013
40,0.798850559265532,0.0368827533489013,0.799715268380723,1.3358646289562737,0.0008291626926342,1.239115265746548e-06,0.04613701444870063,2.6434562072446446,1.563612826959469,0.9957457716320407,1.556960860914513,0.9957457716320407,-0.0001356670967446183,0.01125855301070252,3.910915037271846e-06,-1.2504450515554328,-1.2451253727445313
50,0.7982298555336942,0.0458667964074133,0.799563487314169,1.3362754559560646,0.0008304207638151,1.2431873752823972e-06,0.057397522793050715,3.288635810547751,1.5642065242760277,0.9934182812898923,1.5539113569287275,0.9934182812898922,-0.0001678867114147109,0.011262918669336864,4.8209552299394165e-06,-1.250682423429716,-1.2424507835230258
60,0.7974757404233737,0.0548431733114144,0.7993794949578936,1.3367737014275418,0.0008319483823497,1.2481422477067986e-06,0.06866285178737436,3.9340916167488515,1.5649266707583147,0.990585634478822,1.5501938790659557,0.990585634478822,-0.0002000878914218407,0.011268194921162399,5.732216440330548e-06,-1.2509702917169196,-1.2391932001345618
70,0.7965882581836196,0.0638103781509718,0.7991633115313254,1.3373594442644945,0.0008337468581402,1.2539897251729636e-06,0.07993391263537551,4.5798758339744605,1.565773448791754,0.9872483325928805,1.545807226537863,0.9872483325928805,-0.00023226705806234094,0.011274383102217525,6.644928690697355e-06,-1.2513086944442422,-1.2353524221490522
80,0.79556746140635,0.0727669035777016,0.7989149608417689,1.3380327770617548,0.0008358177340329,1.2607414477158402e-06,0.09121161799180941,5.226040753490205,1.5667470727077093,0.9834069737088471,1.5407499973386833,0.983406973708847,-0.0002644206126641846,0.011281484778543793,7.5593219590608385e-06,-1.2516976762412357,-1.23092822379079
90,0.7944134110843915,0.0817112405807575,0.798634470305997,1.3387938060553175,0.0008381627874733,1.2684108886452389e-06,0.1024968821924631,5.872638762877739,1.5678477887768083,0.9790622538669216,1.535020589800091,0.9790622538669215,-0.00029654493333253207,0.011289501746135647,8.475626166331435e-06,-1.2521372883101949,-1.2259203556437948
100,0.793126176678248,0.0906418782633012,0.7983218709751039,1.3396426510529047,0.0008407840324073,1.2770133955764792e-06,0.1137906214840807,6.5197223592084965,1.569075875200338,0.9742149685453253,1.528617204403526,0.9742149685453253,-0.0003286363716762941,0.011298436030876456,9.394071160462314e-06,-1.2526275883918325,-1.2203285466241558
110,0.7917058361916577,0.0995573036195295,0.7979771975626444,1.3405794453547148,0.0008436837214318,1.2865662372499496e-06,0.125093754254216,7.167344162213265,1.570431642099296,0.9688660143303273,1.521537845858976,0.9688660143303272,-0.00036069124951559894,0.011308289888456571,1.0314886697577325e-05,-1.253168640726098,-1.2141525062240484
120,0.790152476255991,0.108456001312336,0.7976004884760727,1.3416043356640652,0.0008468643481932,1.297088656312525e-06,0.13640720126099384,7.815556927446548,1.571915431500666,0.9630163907833964,1.5137803254604967,0.9630163907833965,-0.0003927058555682761,0.01131906580427161,1.1238302419766533e-05,-1.2537605160080079,-1.2073919270327604
130,0.7884661922235611,0.117336453451691,0.7971917858515079,1.3427174819875924,0.0008503286500353,1.3086019282554584e-06,0.14773188586275923,8.464413559444496,1.5735276173203956,0.9566672025073624,1.5053422637299783,0.9566672025073624,-0.00042467644211147126,0.011330766493296104,1.21645478288121e-05,-1.2544032913383143,-1.200046487540653
140,0.7866470882699155,0.1261971393738225,0.7967511355918497,1.3439190575246396,0.0008540796108964,1.3211294267261662e-06,0.15906873424758605,9.113967124874778,1.575268605342511,0.9498196614136486,1.4962210933619742,0.9498196614136486,-0.0004565992216175596,0.011343394899929235,1.3093852255507965e-05,-1.255097050168835,-1.192115855232632
